store,cluster,x_train,y_train,x_val,y_val
557,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
128,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
795,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
78,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
290,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
695,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
322,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
812,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
273,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1024,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
614,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
556,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
373,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1001,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
188,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
478,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
403,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
943,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
67,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
409,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
860,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
808,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1045,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
179,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
367,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
585,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
437,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
296,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
225,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
361,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
34,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
624,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
324,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
745,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
529,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1096,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
101,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1077,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
332,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
117,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
96,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
43,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
924,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
77,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
476,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
728,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
834,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
976,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
918,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
563,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1108,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
95,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
860,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
242,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1034,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
976,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
