store,cluster,x_train,y_train,x_val,y_val
429,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
825,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
172,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
164,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
420,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
540,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
904,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
919,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
500,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1009,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
498,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
342,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
434,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
41,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
598,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
646,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
804,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
644,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1004,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
164,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
183,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
51,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
306,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
941,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
884,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
277,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
471,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
113,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
306,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
159,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
127,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
407,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
427,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
317,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
920,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
136,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
457,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
893,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1107,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
804,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1038,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1049,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1004,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
279,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
32,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
287,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
739,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
231,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
900,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
660,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
407,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
633,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
149,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
858,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
129,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1080,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
739,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
670,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
771,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
81,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
277,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
89,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
385,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
129,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
766,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
218,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
348,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
775,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
