store,cluster,x_train,y_train,x_val,y_val
868,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
578,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
316,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
965,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
985,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
310,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1032,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
713,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
544,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
528,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
691,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
533,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
35,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
354,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
722,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
470,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
528,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
947,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
705,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
125,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
195,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
687,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
862,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
523,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
709,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
768,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
560,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
229,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
668,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
756,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
709,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
256,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
510,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
965,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
862,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1043,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
578,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
310,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
608,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
536,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
261,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
368,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
999,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
354,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
394,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
189,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
211,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
24,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
995,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
526,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
667,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
562,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
645,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
546,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1046,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
376,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
431,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
532,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
526,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
82,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1021,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
947,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
448,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1033,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
106,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
