store,cluster,x_train,y_train,x_val,y_val
903,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
710,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
716,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
522,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
317,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
890,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
164,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
736,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
952,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
132,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1107,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
522,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1107,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
612,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
81,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
139,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
611,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
