store,cluster,x_train,y_train,x_val,y_val
848,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
327,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
590,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
142,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
857,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
201,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
529,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
588,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
451,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
447,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
111,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
329,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
294,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
300,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
242,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
489,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
639,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
418,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
75,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
314,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
47,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
328,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
922,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
700,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
351,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
480,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1110,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
217,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
839,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
8,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
818,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
855,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1068,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
