store,cluster,x_train,y_train,x_val,y_val
699,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
914,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
809,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
906,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
211,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
269,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
665,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
655,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
753,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
431,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
562,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
999,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
849,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
526,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
579,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1033,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
615,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
106,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
807,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
382,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
532,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
195,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
157,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
544,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1091,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
662,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
853,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
729,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
252,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
938,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
189,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
733,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
234,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
761,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
560,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
269,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
104,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
754,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
158,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
846,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
261,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
995,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
983,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
938,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
259,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
71,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
510,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
755,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
213,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
863,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
362,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
807,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
71,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
467,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
755,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
985,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
229,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
252,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
207,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
493,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
245,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
167,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
421,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
964,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1018,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
308,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
