store,cluster,x_train,y_train,x_val,y_val
1080,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
263,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
428,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
890,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
99,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1019,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
115,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
706,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
181,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
100,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
287,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
644,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
555,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
477,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1004,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
186,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
633,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
805,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1080,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
920,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
279,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
542,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
775,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
136,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
99,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
231,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
137,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
719,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
204,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
52,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
806,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
932,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
712,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
858,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1065,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
941,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
501,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
58,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
204,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
644,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
183,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1102,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
903,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
766,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
348,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
434,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
46,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
100,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
587,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1056,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
977,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
407,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1107,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
263,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
904,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1092,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
637,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
766,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
771,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
113,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
181,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
164,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
139,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
89,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
620,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
677,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
306,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
805,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
