store,cluster,x_train,y_train,x_val,y_val
431,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
269,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
733,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
362,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1033,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
384,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
459,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
147,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
380,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
965,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
233,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
726,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
524,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
233,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
729,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
445,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
376,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
396,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
154,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
963,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1114,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1040,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
545,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
846,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
704,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
267,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
809,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
687,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
562,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1093,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1114,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1114,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
809,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
387,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
57,1,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
