store,cluster,x_train,y_train,x_val,y_val
1001,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
361,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1037,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
391,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1011,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
221,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
927,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
466,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
764,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
625,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
796,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
28,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
516,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
219,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
6,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
854,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
652,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
839,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
319,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
266,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
607,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
802,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
816,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
439,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1072,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
680,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
16,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
472,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
103,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
175,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
869,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
865,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
478,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
8,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
105,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
486,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
451,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1106,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1042,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
994,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
349,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1005,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1077,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
979,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
296,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
199,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
208,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
422,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
882,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
848,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
741,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
103,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
61,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
631,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
295,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1108,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
97,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
440,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1030,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
856,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
881,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
998,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
323,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
437,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
177,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
74,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
504,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
960,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
908,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
886,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
779,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1013,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
119,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
377,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
933,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
975,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
222,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
718,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
241,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
824,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
408,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
187,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
1115,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
138,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
873,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
601,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
764,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
