store,cluster,x_train,y_train,x_val,y_val
547,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1038,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
348,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1056,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
1049,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
598,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
471,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
89,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
858,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
637,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
115,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
820,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
144,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
399,2,"(576, 7, 27)","(576, 1)","(139, 7, 27)","(139, 1)"
