store,cluster,x_train,y_train,x_val,y_val
722,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
593,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
683,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
872,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
826,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1043,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1112,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
679,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
928,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
479,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
967,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
905,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
545,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
448,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
211,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
150,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
147,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
560,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
846,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
320,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
421,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
444,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
211,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
459,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
754,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
755,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
213,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
765,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
157,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
747,1,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
