store,cluster,x_train,y_train,x_val,y_val
680,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1084,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
462,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1015,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
63,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
128,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1076,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
997,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
569,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
244,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
302,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1013,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1083,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
203,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
600,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
37,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
47,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
927,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
531,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
260,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
177,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1096,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
832,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
62,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
227,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
75,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
823,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
950,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
614,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
508,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
409,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
289,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
855,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
293,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
237,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
437,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
625,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
343,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1047,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
491,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
969,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1028,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1115,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
117,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
26,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
95,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
790,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
206,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1100,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
730,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
463,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
496,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
844,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
5,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
350,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
323,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
735,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
367,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
730,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
93,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
943,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
568,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
240,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
944,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
688,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
109,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
795,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
997,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
323,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
